war iraq,-0.62060917,64
cluster bomb,-0.483607358,69
cluster,-0.442312937,73
british govern,-0.408555599,56
oil,-0.321382019,93
go war,-0.29095978,82
billion,-0.28998417,50
mani us,-0.26998417,50
bomb,-0.248502689,432
georg,-0.248502689,81
nuclear weapon,-0.245773644,95
bush,-0.24198417,250
drop,-0.237446857,67
court,-0.22998417,104
conserv,-0.22998417,98
american,-0.218722909,444
tell us,-0.216470656,74
authoris,-0.215278288,68
administr,-0.21244031,228
fire,-0.210503651,77
unilater,-0.20998417,50
war,-0.202852387,1290
hous common,-0.200572405,68
chamber,-0.19968114,66
name,-0.199119972,81
opinion,-0.197516638,154
america,-0.185383231,213
prime minister',-0.181597073,93
weapon inspector,-0.180803842,122
pre-empt,-0.177042994,85
listen,-0.176792681,141
labour,-0.172841313,140
human right,-0.168186417,89
inspect,-0.166603888,142
promis,-0.163317503,60
osama bin laden,-0.162973861,97
friend give way,-0.161356719,51
action iraq,-0.158555599,56
minister',-0.154512472,106
presid bush,-0.154226594,132
osama bin,-0.154226594,99
osama,-0.154226594,99
legitim,-0.153712984,59
hon friend give way,-0.14998417,50
tackl,-0.148165988,55
send,-0.147459898,103
minut,-0.146650837,60
parti,-0.145425346,272
upon,-0.145368785,65
bin laden,-0.14507851,212
laden,-0.14507851,212
veto,-0.143777273,87
reflect,-0.143317503,75
liber democrat,-0.142264872,114
persuad,-0.141748876,102
faith,-0.141748876,51
told,-0.141442503,192
friend give,-0.140698456,56
mandat,-0.137391577,54
favour,-0.135781271,69
oppos,-0.134746075,126
common,-0.133209976,124
mani hon,-0.133209976,62
parliament,-0.132581573,154
refer,-0.130810616,242
bin,-0.12998417,235
argu,-0.12998417,130
fall,-0.12998417,65
hon friend give,-0.12998417,55
presid,-0.128358154,369
colleagu,-0.128214258,113
agreement,-0.126809567,126
per cent,-0.126325633,164
treat,-0.126210585,53
consensu,-0.126210585,53
vote,-0.124818118,271
human,-0.124350367,142
cent,-0.123923564,165
worth,-0.123923564,66
per,-0.123047754,173
mani hon member,-0.122841313,56
argument,-0.122678234,219
paus,-0.122141033,51
intent,-0.12046036,105
reduc,-0.120228072,82
regim chang,-0.11959456,77
amend,-0.119457854,95
children,-0.118873059,108
tabl,-0.118873059,72
foreign secretari,-0.118043871,335
courag,-0.118043871,67
british troop,-0.118043871,67
islam,-0.116888932,168
goe,-0.116650837,75
nuclear,-0.116122784,202
seem,-0.114599555,195
hour,-0.114599555,78
deputi,-0.114599555,65
mr speaker,-0.114599555,52
atroc,-0.1137051,86
dossier,-0.112337111,102
15,-0.111802352,55
attempt,-0.110936551,105
moral,-0.11026586,142
share,-0.109069137,153
men women,-0.108362548,74
ignor,-0.10803295,82
parliamentari,-0.107342661,53
invad,-0.107342661,53
extend,-0.107342661,53
foreign,-0.106367934,542
strategi,-0.10498417,104
bench,-0.10498417,72
sometim,-0.103317503,75
target,-0.103189912,209
access,-0.103118498,67
foreign polici,-0.102865526,59
felt,-0.102865526,59
outcom,-0.102865526,59
sought,-0.10253319,51
northern allianc,-0.10253319,51
raf,-0.10253319,51
thank,-0.101779042,156
event 11,-0.101412741,70
stop,-0.100951912,124
examin,-0.100951912,62
entitl,-0.099847184,73
speaker,-0.099732069,119
democrat,-0.099442298,203
event 11 septemb,-0.097631229,68
crime,-0.097072778,79
us,-0.096982748,1406
10,-0.096650837,120
replac,-0.096650837,60
street,-0.096650837,60
die,-0.096320804,101
prime,-0.095809858,872
winter,-0.095368785,52
servic,-0.095297823,271
muslim,-0.095129398,241
hospit,-0.093620534,55
unit state,-0.09326542,768
death,-0.092729268,102
mine,-0.09248417,80
justic,-0.09248417,80
right hon member,-0.092188894,127
prime minist,-0.091095281,756
tell,-0.090499191,233
lack,-0.090449286,86
truth,-0.090449286,86
suggest,-0.08998417,275
public,-0.089534732,267
liber,-0.089100192,181
danger,-0.088536802,304
realli,-0.087127027,98
valu,-0.087127027,70
add,-0.087127027,56
hear,-0.086419814,101
justifi,-0.086419814,101
spoke,-0.086306009,87
hon gentleman give way,-0.085916373,59
speak,-0.085539726,180
cost,-0.08482288,93
lot,-0.08441455,79
brief,-0.08441455,79
motion,-0.084314879,127
europ,-0.083830324,130
regard,-0.082925346,153
union,-0.082365122,105
among,-0.081836022,108
russia,-0.081836022,54
british,-0.081685953,617
kind,-0.081335521,111
concern,-0.080861363,456
map,-0.080861363,57
probabl,-0.07998417,80
member north-east,-0.07998417,60
decid,-0.079677422,163
militari action,-0.07951688,535
road,-0.079040774,106
present,-0.078905033,278
kosovo,-0.078821379,129
chanc,-0.078821379,129
evil,-0.078608023,109
accord,-0.078469018,66
adopt,-0.078469018,66
british peopl,-0.078469018,66
troop,-0.077916043,411
women,-0.077810257,161
former,-0.077810257,92
crimin,-0.077810257,69
consid,-0.076138016,338
perman,-0.075438715,55
convent,-0.074811756,87
missil defenc,-0.074428614,90
massiv,-0.074246465,61
prime minist said,-0.074246465,61
genuin,-0.074070192,93
huge,-0.074070192,93
intern law,-0.07349562,131
wonder,-0.073267752,67
secretari,-0.073196407,1046
march,-0.072841313,70
join,-0.072576763,108
even,-0.071864512,468
minist,-0.071671722,1197
acknowledg,-0.071447585,82
britain,-0.071160641,170
civilian,-0.070791345,223
give way,-0.070791345,223
form,-0.07056388,138
implic,-0.06998417,50
inspector,-0.069885648,406
without,-0.069114605,345
project,-0.068967221,59
surpris,-0.068693847,62
great deal,-0.068693847,62
gentleman give way,-0.068445708,65
throughout,-0.068113666,139
right hon gentleman,-0.067646508,231
substanti,-0.067646508,77
undermin,-0.06748417,80
wish,-0.067333568,249
appli,-0.066940692,92
press,-0.06598417,125
read,-0.065313511,167
ground,-0.065149005,182
base,-0.065119305,185
pakistan,-0.065062704,191
attack,-0.064148759,401
weapon,-0.063317503,1041
feel,-0.063317503,168
thousand,-0.063317503,114
front,-0.063317503,102
spend,-0.063317503,90
worri,-0.063317503,81
popul,-0.063317503,78
compani,-0.063317503,75
list,-0.063317503,63
impact,-0.063317503,63
korea,-0.063317503,60
baghdad,-0.063317503,54
anthrax,-0.063317503,54
go,-0.062441463,761
campaign,-0.062164101,289
evid,-0.060893261,275
confirm,-0.060692831,127
express,-0.060216728,215
damag,-0.05998417,100
might,-0.059463939,346
begin,-0.059325487,167
govern,-0.059137775,1595
central,-0.058931538,76
medic,-0.058931538,76
minist said,-0.058555599,70
despit,-0.058342379,67
appear,-0.05810917,128
alon,-0.05810917,64
constitu,-0.057853022,244
spent,-0.057853022,61
wrong,-0.057570377,174
sent,-0.057256897,55
cold,-0.057256897,55
desper,-0.056907247,52
north korea,-0.056907247,52
rest,-0.055826867,89
secretari state,-0.055698456,525
mani peopl,-0.055285375,83
free,-0.053513582,68
creat,-0.053292441,133
imposs,-0.052564815,62
fact,-0.052414077,428
prison,-0.052018068,59
iraq,-0.0517233,1265
affect,-0.051412741,84
militari forc,-0.051412741,56
hon member,-0.051245852,856
side hous,-0.050738887,53
best,-0.049781124,197
countri,-0.049751612,1204
least,-0.048665489,182
test,-0.048665489,91
hon gentleman give,-0.048165988,66
mention,-0.047903245,173
view,-0.047741179,428
appal,-0.047444487,63
action,-0.047298658,1415
rule,-0.046815853,101
given,-0.046578056,458
mani,-0.046557727,1074
west,-0.04626324,215
link,-0.046223486,117
outsid,-0.045773644,114
consult,-0.045773644,76
associ,-0.045773644,76
talk,-0.045201561,276
polit,-0.044968879,327
coalit,-0.044877787,235
consequ,-0.044798985,216
rogu state,-0.044798985,54
enter,-0.044798985,54
intervent,-0.044669485,143
un,-0.044343808,773
three,-0.043813957,188
militari,-0.04370966,1275
north-east,-0.043417006,67
arm,-0.043115483,495
rout,-0.043027648,115
real,-0.042833332,179
unit,-0.042687753,1842
last week,-0.04248417,112
trade,-0.04248417,96
whether,-0.04236138,509
world,-0.041967641,968
focu,-0.04145958,61
connect,-0.04145958,61
today',-0.040794981,74
often,-0.040328998,116
pleas,-0.040328998,87
capac,-0.040328998,58
came,-0.03998417,100
advanc,-0.03950798,84
remind,-0.039262521,97
event,-0.039011948,288
legal,-0.038807699,136
mission,-0.038807699,68
withdraw,-0.038626145,81
principl,-0.038395385,107
although,-0.037955184,276
destruct,-0.037676478,468
offici,-0.037676478,65
control,-0.037070784,127
hon learn,-0.036553513,137
aspect,-0.036435783,62
mr,-0.036335353,803
sanction,-0.035866523,85
let us,-0.035769294,121
less,-0.035716654,157
record,-0.035539726,108
gentleman give,-0.035539726,72
heard,-0.034552698,197
member,-0.034375388,2004
brought,-0.034331996,115
inevit,-0.034331996,92
TRUE,-0.03398417,125
put,-0.033928486,431
convinc,-0.033781638,79
conclud,-0.033014473,66
offic,-0.032841313,175
state,-0.032686873,2035
gone,-0.032615749,76
conduct,-0.032067503,96
civilian casualti,-0.031870962,53
speech,-0.031679085,295
freedom,-0.031354033,73
enemi,-0.031354033,73
statement,-0.031120534,352
increas,-0.031120534,176
would,-0.031115178,2122
mass,-0.031107766,445
allow,-0.031059439,372
use,-0.031010396,877
fear,-0.030869126,113
ask,-0.030520843,559
mass destruct,-0.030489221,396
11-Sep,-0.030293768,323
weapon mass destruct,-0.02998417,390
expect,-0.02998417,170
democraci,-0.02998417,100
confer,-0.02998417,60
use forc,-0.02998417,60
chemic weapon,-0.02998417,60
sorri,-0.02998417,60
old,-0.02998417,60
deepli,-0.02998417,50
cross,-0.02998417,50
order,-0.029562229,237
blix,-0.028953242,97
weapon mass,-0.028491633,402
behind,-0.028491633,67
seen,-0.028229784,171
extrem,-0.028120816,161
urg,-0.02785651,94
last,-0.027718798,618
hold,-0.027281467,111
casualti,-0.027281467,111
right hon learn,-0.027013873,101
unit nation,-0.026934411,623
young,-0.02685917,64
elect,-0.02685917,64
may,-0.026280466,756
allianc,-0.026280466,108
state intern,-0.026280466,54
leader,-0.026100675,206
east,-0.026088066,385
found,-0.02598417,125
home secretari,-0.025902537,98
staff,-0.025438715,88
whose,-0.025222265,105
